Name,MiddleName,Suffix,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingStateCode,BillingCountryCode,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingStateCode,ShippingCountryCode,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,NameLocal,Jigsaw,AccountSource,SicDesc,ACRNM__c,Abbreviation__c,Topics__c,Active__c,AI_Validation_Status__c,qualtrics__NPS_Date__c,Institution_Sub_type_OLD__c,Institution_Type_OLD__c,Public_Private_Sector_OLD__c,email__c,CloudingoAgent__BAR__c,CloudingoAgent__BAS__c,CloudingoAgent__BAV__c,CloudingoAgent__BRDI__c,CloudingoAgent__BTZ__c,CloudingoAgent__SAR__c,CloudingoAgent__SAS__c,CloudingoAgent__SAV__c,CloudingoAgent__SRDI__c,CloudingoAgent__STZ__c,scanbizcards__ScanBizCards__c,Relationship_with_the_bank__c,Beneficiary_type__c,InstitutionSector_LAB_OLD__c,InstitutionSubType_LAB_OLD__c,InstitutionType_LAB_OLD__c,AI_Area__c,AI_Sub_Area__c,AI_Technology__c,qualtrics__Net_Promoter_Score__c,ORP_Confidential_Account__c,Other_Phone_Extension__c,Phone_Extension__c,Relationship_Type__c,Facebook__c,Linkedin__c,ORP_Business_Partner_Number__c,Other_Phone__c,Skype__c,Twitter__c,Used_by_IDB_Lab__c,Used_by_IDB__c,Financial_Regulation__c,Institution_Sub_Type__c,Institution_Type__c,Legal_Name__c,ORP_Rating__c,ORP_Region__c,ORP_Used_by_ORP__c,DQ_Score__c,ORP_Business_Partner_Name__c,ORP_Id__c,IDB_isBucket__c,ORP_Academic_Type__c,PSR_FinancingFocus__c,PSR_FundStatus__c,PSR_IsFund__c,pbk__AUM__c,pbk__Active_Investors__c,pbk__Average_Volume__c,pbk__Business_Status__c,pbk__Company_Status__c,pbk__Currency__c,pbk__Date_of_Last_Round__c,pbk__Dry_Powder__c,pbk__Employees__c,pbk__Enterprise_Value__c,pbk__Exchange__c,pbk__FYE__c,pbk__Financing_Status__c,pbk__Firm_Sub_Type__c,pbk__Former_Name__c,pbk__Global_Region__c,pbk__Global_Sub_Region__c,pbk__High_52wk__c,pbk__Industries_All__c,pbk__Investor_Status__c,pbk__LTM_Annual_Revenue__c,pbk__LTM_Dividend_Yield__c,pbk__LTM_EBITDA__c,pbk__LTM_EBIT__c,pbk__LTM_EPS__c,pbk__LTM_Net_Income__c,pbk__LTM_Number_Of_Investments__c,pbk__LTM_P_E__c,pbk__Last_Inv_Date__c,pbk__Last_Inv_Lead_Partner_Email__c,pbk__Last_Inv_Lead_Partner_Phone__c,pbk__Last_Inv_Lead_Partner_Title__c,pbk__Last_Inv_Lead_Partner__c,pbk__Last_Inv_Location__c,pbk__Last_Inv_Name__c,pbk__Last_Inv_Primary_Industry__c,pbk__Last_Inv_Size__c,pbk__Last_Inv_Status__c,pbk__Last_Inv_Type__c,pbk__Last_Round_Size__c,pbk__Last_Round_Status__c,pbk__Last_Round_Type__c,pbk__Last_Round_Valuation__c,pbk__Last_Sync_Date__c,pbk__Low_52wk__c,pbk__Market_Cap__c,pbk__Number_Of_Active_Investments__c,pbk__Ownership_Status__c,pbk__PB_Notes__c,pbk__PitchBook_Industry_Code__c,pbk__PitchBook_Industry_Group__c,pbk__PitchBook_Industry_Sector__c,pbk__PitchBook_Industry__c,pbk__PitchBook_Link__c,pbk__PitchBook_Type__c,pbk__Preferred_Company_Valuation__c,pbk__Preferred_Deal_Size__c,pbk__Preferred_EBITDA__c,pbk__Preferred_EBIT__c,pbk__Preferred_Geographies__c,pbk__Preferred_Industries__c,pbk__Preferred_Investment_Amount__c,pbk__Preferred_Investment_Horizon__c,pbk__Preferred_Investment_Types__c,pbk__Preferred_Other__c,pbk__Preferred_Revenue__c,pbk__Preferred_Verticals__c,pbk__Primary_Contact_Email__c,pbk__Primary_Contact_Name__c,pbk__Primary_Contact_Phone__c,pbk__Primary_Contact_Title__c,pbk__Primary_US_Region__c,pbk__SIC__c,pbk__TTM_End__c,pbk__Ticker_Symbol__c,pbk__Total_Assets_FYE__c,pbk__Total_Debt_FYE__c,pbk__Total_Money_Raised__c,pbk__Verticals__c,pbk__Year_Founded__c,pbk__pbId__c,Instagram__c,Business_Model_Type__c,Errors
SERVICIO BRASILERO DE APOYO A LAS MICROSY PEQUENAS EMPRESAS,,,,CONJ A,Brasília,Distrito Federal,70200904,Brazil,DF,BR,,,,,,,,United States,,US,,,,+556133487667,,,https://www.sebrae.com.br/sites/portalsebrae,,,,,,,Mission: to promote competitiveness and sustainable development of micro and small businesses and promote entrepreneurship,,,SEBRAE,,,,BR-SEBRAE,SEBRAE,,true,Validated,,,,Private Sector,ouvidoria@sebrae.com.br,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,@sebrae,false,true,,,Government,SERVICIO BRASILERO DE APOYO A LAS MICROSY PEQUENAS EMPRESAS,,,false,66,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
INSTITUTO BRASILEIRO DE ADMINISTRACAO MUNICIPAL,,,,RUA BUENOS AIRES,Rio De Janeiro,Rio de Janeiro,20070021,Brazil,RJ,BR,,,,,,,,United States,,US,,,,+552121429797,,,www.ibam.org.br,,,,,,,"Promover com base na ética, transparência e independência partidária o desenvolvimento institucional do Município como esfera autônoma de Governo, fortalecer sua capacidade de formular políticas, prestar serviços e fomentar o desenvolvimento local, objetivando uma sociedade democrática e a valorização da cidadania.CAPACITAÇÃO, ASSISTÊNCIA TÉCNICA E ESTUDOS E PESQUISAS:  Atuando por meio de ações de capacitação, apoio técnico e realização de estudos e pesquisas, o Instituto,busca estar presente em todos os campos de ação dos governos municipais, no apoio à descentralização de políticas públicas, na gestão sustentável de territórios, no fomento à inovações de gestão como as parcerias/alianças público-privadas e na defesa de direitos das minorias e ambientais, sobretudo no que toca à incorporação de conquistas sociais na agenda pública.",,,,,,,BR-IBAM,IBAM,,true,Validated,,,,Private Sector,ibam@ibam.org.br,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,true,,,Academic,INSTITUTO BRASILEIRO DE ADMINISTRACAO MUNICIPAL,,,false,63,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Fundacion Nuevos Horizontes,,,,65 E. 99TH ST. # 14G,New York,New York,10029,United States,NY,US,,,,,,,,United States,,US,,,,(212) 202-7933,,,,,,,,,,,,,,,,,,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Non Profit / NGO,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Asociación de Capital de Riesgo de América Latina,,,,"589 8th Ave, Floor 18",New York,New York,10018,United States,NY,US,,,,,,,,United States,,US,,,,6463156735,,,http://www.lavca.org,,,,,,,,,,,,,,US-LAVCA,,,true,Pending validation,,,International Organization / Program,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Intergovernmental Organization,,,,false,54,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Stichting To Promote Women´s World Banking,,,,"8 West 40th Street, 9th Floor",New York,New York,NY 10018,United States,NY,US,,,,,,,,United States,,US,,,,12127688513,,,http://www.womensworldbanking.org/,,,,,,,,,,,,,,US-WWW,WWB Headquarters,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Hispanics In Philanthropy,,,,"414 13th Street, Suite 200",Oakland,California,94612,United States,CA,US,,,,,,,,United States,,US,,,,14158370427,,,https://www.hiponline.org/,,,,,,,,,,,,,,US-HIP,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,47,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Avasant Foundation,,,,1960 East Grand Avenue,El Segundo,California,90245,United States,CA,US,,,,,,,,United States,,US,,,,,,,https://avasant.com/,,,,,,,,,,,,,,US-AF,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Non Profit / NGO,AVASANT FOUNDATION,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Education Development Center,,,,"43 Foundry Avenue Waltham, MA",Boston,Massachusetts,02453-8313,United States,MA,US,,,,,,,,United States,,US,,,,16179697100,,,www.edc.org,,,,,,,,,,,,,,,EDC,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Pro Mujer International - New York,,,,"253 West 35th Street, 11th Floor South",New York,New York,10001,United States,NY,US,,,,,,,,United States,,US,,,,16466267000,,,http://promujer.org/,,,,,,,,,,,,,,,PMI,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Impact Hub São Paulo,,,,Pinheiros,São Paulo,São Paulo,,Brazil,SP,BR,,,,,,,,United States,,US,,,,,,,http://saopaulo.impacthub.com.br/,,,,,,,"O Impact Hub é uma organização brasileira globalmente conectada atuando desde 2007 no Brasil, apoiando o desenvolvimento e florescimento do ecossistema de impacto no Brasil e no mundo, com o propósito de promover transformações sociais e impulsionar o setor de impacto,",,,,,,,BR-IH,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,Supplier,,,,,,,,,,,,,,,,,,,false,true,,,Business,,,,false,49,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
